500 1012 
114 -606.75867 295.37543
115 -661.8193 91.01572
116 -653.79706 -124.05351
117 -581.29004 -330.51184
118 -448.76675 -509.17993
119 -266.35077 -642.78906
120 -49.07611 -717.6327
121 184.33437 -724.94293
122 413.0701 -661.8574
123 616.07776 -531.8722
124 773.9877 -344.72403
125 870.9457 -115.69409
126 896.1794 135.62051
127 845.14526 386.97043
128 720.1389 615.4133
129 530.2943 799.3968
130 290.9551 920.77734
131 22.456106 966.58636
132 -251.59033 930.3749
133 -506.36 812.9983
134 -718.0546 622.75476
135 -866.1118 374.84393
136 -935.1813 90.176926
137 -916.68176 -206.37228
138 -809.78033 -488.12885
139 -621.6903 -729.0061
140 -367.2395 -905.9083
141 -67.72891 -1000.92664
142 250.8335 -1003.12146
143 559.9795 -909.7165
144 831.314 -726.5769
145 1039.1116 -467.91058
146 1162.7385 -155.19748
147 1188.6754 184.5755
148 1111.9424 521.2309
149 936.78107 824.0703
150 676.5125 1064.6621
151 352.56015 1219.4967
152 -7.292671 1272.2584
153 -371.27185 1215.5024
154 -706.4073 1051.5615
155 -981.50854 792.585
156 -1170.0541 459.68103
157 -1252.7266 81.2193
158 -1219.3552 -309.5714
159 -1070.0709 -677.5097
160 -815.5509 -988.61816
161 -476.30634 -1213.2482
162 -81.055984 -1328.8866
163 335.68875 -1322.3802
164 736.62555 -1191.3596
165 1084.9894 -944.7159
166 1347.9119 -602.0608
167 1499.5059 -192.19754
168 1523.385 249.2824
169 1414.38 683.0774
170 1179.27 1069.6638
171 836.44525 1372.8862
172 414.50272 1563.3223
173 -50.11904 1621.1143
174 -516.2733 1537.9921
175 -941.7385 1318.2896
176 -1287.0314 978.8352
177 -1519.0569 547.7041
178 -1614.2585 61.918495
179 -1560.9703 -435.7173
180 -1360.7404 -900.3771
181 -1028.4805 -1289.2402
182 -591.40436 -1565.4244
183 -86.8241 -1701.4651
184 441.01907 -1682.0116
185 944.8225 -1505.483
186 1378.4504 -1184.5066
187 1701.147 -745.073
188 1881.349 -224.46204
189 1899.7435 331.9034
190 1751.2782 874.40784
191 1445.9165 1353.6575
192 1008.0455 1724.966
193 474.5616 1952.5049
194 -108.21886 2012.735
195 -688.56805 1896.7932
196 -1213.9272 1611.594
197 -1635.6554 1179.522
198 -1913.5187 636.713
199 -2019.5056 30.054836
200 -1940.6106 -586.8498
201 -1680.309 -1158.4078
202 -1258.5687 -1632.0356
203 -710.3641 -1962.9825
204 -82.799576 -2118.5396
205 568.9218 -2081.2373
206 1186.343 -1850.722
207 1712.9862 -1444.12
208 2099.506 -894.81824
209 2308.2954 -249.7533
210 2317.1143 434.58405
211 2121.393 1097.083
212 1734.9808 1677.4601
213 1189.2341 2121.7314
214 530.4962 2387.2224
215 -183.79443 2446.6262
216 -890.122 2290.7776
217 -1524.5242 1929.809
218 -2028.3738 1392.5859
219 -2353.7805 724.4369
220 -2468.121 -16.651894
221 -2357.265 -765.0536
222 -2027.187 -1453.3024
223 -1503.7852 -2018.1638
224 -830.8924 -2406.4316
225 -66.63 -2579.9185
226 721.5977 -2519.1738
227 1463.0374 -2225.5747
228 2089.9265 -1721.5646
229 2543.6738 -1048.9897
230 2780.3176 -265.6531
231 2774.7517 559.6378
232 2523.322 1353.103
233 2044.5221 2042.5747
234 1377.7004 2564.0503
235 579.85645 2867.6165
236 -279.21307 2922.198
237 -1123.0074 2718.6858
238 -1875.1241 2271.1267
239 -2466.165 1615.8418
240 -2840.1255 808.51337
241 -2959.675 -80.52557
242 -2809.8403 -972.40564
243 -2399.725 -1786.7063
244 -1762.08 -2448.6978
245 -950.73 -2896.1836
246 -36.053513 -3085.3235
247 901.10754 -2994.8904
248 1776.5819 -2628.551
249 2510.4185 -2014.9346
250 3034.1738 -1205.4448
251 3297.2776 -269.97928
252 3271.8818 709.0887
253 2955.7341 1644.153
254 2372.7842 2450.2024
255 1571.4298 3052.5386
256 620.5296 3393.6794
257 -396.49667 3438.8171
258 -1388.9739 3179.3113
259 -2267.0452 2633.8728
260 -2949.7964 1847.2937
261 -3372.696 886.8029
262 -3493.6697 -163.65913
263 -3297.239 -1210.7638
264 -2796.3196 -2160.0754
265 -2031.4849 -2924.557
266 -1067.7173 -3432.5354
267 11.08839 -3634.4
268 1109.415 -3507.406
269 2128.5688 -3058.128
270 2975.5366 -2322.298
271 3571.463 -1362.0116
272 3858.9697 -260.5138
273 3807.6487 885.0025
274 3417.1968 1971.9607
275 2717.8804 2901.5757
276 1768.2471 3587.8186
277 650.2536 3965.3613
278 -537.7912 3995.7651
279 -1689.8583 3671.3325
280 -2701.6506 3016.2405
281 -3480.034 2084.8115
282 -3951.5935 957.0437
283 -4069.5322 -268.24286
284 -3818.264 -1482.0508
285 -3215.258 -2574.891
286 -2309.9246 -3446.6487
287 -1179.6033 -4015.7393
288 77.02066 -4226.721
289 1348.5194 -4055.6553
290 2520.5916 -3512.695
291 3486.3264 -2641.6436
292 4155.944 -1516.4601
293 4465.1177 -235.00693
294 4381.123 1089.4465
295 3906.2087 2338.2256
296 3077.8733 3397.8718
297 1965.9529 4170.4414
298 666.7641 4582.537
299 -705.2225 4592.252
300 -2027.457 4193.3647
301 -3180.2458 3416.3743
302 -4057.5752 2326.2368
303 -4576.8447 1016.9669
304 -4686.6147 -396.45193
305 -4371.6523 -1788.152
306 -3654.775 -3032.5803
307 -2595.2903 -4015.8137
308 -1284.1246 -4645.9736
309 163.95805 -4861.787
310 1620.3876 -4638.502
311 2954.1926 -3990.5852
312 4043.7668 -2970.9224
313 4787.945 -1666.5421
314 5115.3696 -191.21411
315 4991.301 1324.4602
316 4421.208 2744.598
317 3450.7817 3940.2058
318 2162.3242 4800.885
319 667.79645 5245.0044
320 -900.8937 5227.4126
321 -2403.5227 4743.958
322 -3704.076 3832.3706
323 -4683.0454 2569.382
324 -5248.398 1064.298
325 -5344.195 -550.44385
326 -4956.0747 -2130.9148
327 -4113.0537 -3534.514
328 -2885.4404 -4632.8223
329 -1379.0068 -5323.339
330 274.10303 -5539.02
331 1926.9525 -5254.743
332 3430.8618 -4490.0757
333 4648.7715 -3308.047
334 5467.719 -1809.9939
335 5809.2954 -126.89772
336 5637.1113 1592.0541
337 4960.5757 3192.6812
338 3834.584 4529.6284
339 2355.1182 5479.553
340 651.088 5952.484
341 -1126.8837 5900.311
342 -2819.7642 5321.6025
343 -4274.325 4262.2803
344 -5356.9985 2812.0344
345 -5966.1265 1096.7592
346 -6041.476 -732.3569
347 -5570.137 -2512.1453
348 -4588.2266 -4082.004
349 -3178.2017 -5298.375
350 -1461.9672 -6047.8604
351 409.64362 -6257.767
352 2270.1108 -5903.1074
353 3952.0344 -5009.39
354 5302.1836 -3650.8953
355 6195.4443 -1944.5376
356 6546.39 -39.82959
357 6317.4116 1894.2068
358 5522.6323 3684.0266
359 4227.217 5167.1245
360 2542.0723 6206.776
361 614.38025 6704.6216
362 -1385.2446 6609.9385
363 -3277.8425 5924.727
364 -4892.1147 4704.111
365 -6079.9146 3051.9578
366 -6729.828 1112.0717
367 -6777.5903 -944.3075
368 -6212.3823 -2933.6084
369 -5078.38 -4676.304
370 -3471.375 -6013.102
371 -1530.7173 -6819.49
372 572.7513 -7017.3047
373 2651.7227 -6582.2583
374 4519.0903 -5546.7017
375 6004.7812 -3997.313
376 6971.2256 -2067.8857
377 7326.0776 72.20698
378 7030.9927 2232.8647
379 6105.6475 4220.1353
380 4626.582 5853.6147
381 2720.9097 6982.8115
382 555.42126 7500.9893
383 -1678.0011 7355.2197
384 -3779.373 6551.7036
385 -5558.5054 5155.828
386 -6852.2046 3286.8955
387 -7539.225 1107.9586
388 -7551.598 -1188.389
389 -6881.293 -3397.025
390 -5581.553 -5318.6094
391 -3762.734 -6777.5645
392 -1582.9646 -7638.1025
393 765.57916 -7816.834
394 3073.6072 -7290.7964
395 5133.3545 -6100.1323
396 6757.2725 -4345.115
397 7795.092 -2177.7405
398 8147.703 211.41527
399 7776.5767 2609.9387
400 6707.8345 4802.454
401 5030.544 6589.9526
402 2889.3374 7807.8413
403 471.9672 8341.08
404 -2007.146 8135.005
405 -4325.9194 7200.8447
406 -6274.491 5615.3564
407 -7674.203 3514.5698
408 -8393.963 1082.1453
409 -8362.485 -1466.6688
410 -7575.2886 -3904.0698
411 -6095.7407 -6010.0513
412 -4050.0264 -7592.248
413 -1616.4142 -8503.495
414 990.25934 -8655.48
415 3537.5432 -8027.254
416 5796.09 -6667.756
417 7560.294 -4692.0854
418 8666.993 -2271.7964
419 9010.536 379.98282
420 8552.819 3027.3025
421 7327.3545 5432.3755
422 5436.933 7376.9224
423 3045.0513 8681.974
424 361.78485 9224.313
425 -2374.6414 8948.079
426 -4918.995 7870.4077
427 -7041.001 6080.583
428 -8546.172 3732.688
429 -9293.611 1032.3628
430 -9209.171 -1781.1871
431 -8292.7295 -4456.371
432 -6618.8945 -6751.698
433 -4330.98 -8457.568
434 -1628.7717 -9415.391
435 1248.9015 -9532.3
436 4045.2656 -8790.1045
437 6508.501 -7247.5967
438 8414.411 -5035.982
439 9586.808 -2347.7441
440 9913.775 580.0796
441 9358.311 3486.7908
442 7962.314 6111.232
443 5843.5483 8215.238
444 3185.735 9605.236
445 222.65347 10150.032
446 -2782.4128 9793.154
447 -5560.058 8558.591
448 -7858.894 6549.3555
449 -9468.293 3938.9377
450 -10237.659 956.3493
451 -10090.494 -2133.9531
452 -9031.915 -5055.504
453 -7148.922 -7544.553
454 -4603.298 -9373.86
455 -1617.7441 -10373.43
456 1543.5896 -10446.271
457 4598.4624 -9577.754
458 7271.73 -7837.6353
459 9320.115 -5374.5337
460 10554.33 -2403.2693
461 10856.543 813.85535
462 10191.573 3990.1973
463 8610.775 6840.3013
464 6248.156 9105.543
465 3309.0657 10577.583
466 52.367393 11117.504
467 -3232.351 10668.879
468 -6250.5137 9263.544
469 -8728.966 7019.488
470 -10440.678 4130.997
471 -11225.527 851.85333
472 -11005.236 -2526.9456
473 -9791.093 -5702.999
474 -7683.696 -8389.556
475 -4864.67 -10341.395
476 -1581.0442 -11377.187
477 1876.3823 -11396.309
478 5198.779 -10388.555
479 8086.8584 -8435.808
480 10277.828 -5705.4526
481 11569.287 -2436.06
482 11837.887 1083.4384
483 11051.073 4539.274
484 9270.748 7620.8013
485 6648.4966 10048.413
486 3412.7146 11598.895
487 -151.26236 12125.923
488 -3726.3086 11573.835
489 -6991.713 9983.362
490 -9651.939 7488.763
491 -11463.363 4306.5327
492 -12256.557 716.6349
493 -11952.103 -2962.1099
494 -10568.449 -6400.3296
495 -8221.048 -9287.579
496 -5112.767 -11360.362
497 -1516.3905 -12426.151
498 2249.308 -12381.249
499 5847.8076 -11220.797
136 135
319 318
379 378
164 162
352 349
293 292
306 303
250 248
6 5
142 140
278 275
240 238
92 91
331 330
73 70
338 335
490 489
445 443
66 65
202 200
51 48
152 151
309 308
44 43
180 178
29 26
359 357
375 373
96 95
22 21
50 49
283 282
104 103
287 286
299 298
419 417
268 265
82 81
261 260
33 30
462 461
60 59
413 411
239 238
328 325
321 320
452 451
34 33
457 455
305 304
473 471
120 119
12 11
435 433
417 415
403 401
64 63
277 276
126 124
72 71
337 336
166 163
255 254
57 54
387 385
236 233
289 288
315 314
229 228
365 363
214 211
28 27
207 206
343 341
430 429
2 1
425 423
484 483
484 481
88 87
176 174
267 266
116 114
295 293
32 31
245 244
381 379
468 467
40 39
223 222
25 22
68 66
204 201
18 17
154 152
197 196
333 331
182 179
263 261
134 131
478 477
175 174
311 309
437 434
353 351
497 494
257 256
106 104
409 407
56 55
460 458
235 234
220 217
144 142
398 397
459 456
213 212
349 347
8 7
323 321
273 272
102 99
191 190
36 34
172 169
428 426
301 299
122 120
165 164
14 12
150 147
251 250
143 142
279 277
475 472
317 315
225 224
361 359
420 419
24 23
446 445
203 202
52 50
321 319
231 229
181 180
30 28
458 457
464 463
454 452
159 158
291 289
426 425
241 240
90 88
133 132
486 484
356 355
219 218
414 413
111 110
247 245
404 403
433 430
193 192
42 40
436 435
366 365
357 354
171 170
20 18
443 440
289 287
335 332
149 148
388 387
80 78
474 473
345 343
127 126
362 361
259 257
108 105
209 208
297 295
101 100
237 235
432 431
382 381
187 186
470 468
79 78
215 213
95 94
161 160
10 8
146 143
63 62
38 35
117 116
139 138
275 273
257 255
167 165
303 300
334 333
253 251
442 441
340 339
401 398
48 46
184 181
227 225
76 73
177 176
26 24
69 68
128 125
394 393
155 154
482 480
47 46
183 181
319 316
476 474
369 366
129 128
265 263
372 371
410 409
6 3
107 106
243 241
379 376
225 223
368 367
438 436
85 84
324 323
350 349
331 328
302 301
309 306
195 193
96 93
347 344
145 144
281 279
37 36
173 171
22 19
123 122
15 14
390 388
82 79
400 399
97 96
292 291
31 30
103 101
75 74
211 209
193 191
64 61
478 475
53 52
189 187
488 486
450 448
318 317
483 482
378 377
299 296
487 486
113 112
480 478
5 4
141 139
456 454
91 90
358 356
270 269
255 252
412 410
330 329
65 64
201 199
308 307
346 345
298 297
434 432
43 42
179 177
71 69
374 372
21 20
444 442
260 259
396 394
267 264
109 107
286 285
326 324
161 159
129 127
81 80
217 215
40 37
32 29
440 438
59 58
238 237
87 85
223 220
477 476
33 32
169 167
364 362
472 470
254 253
11 10
147 145
283 280
39 37
384 382
276 275
77 75
455 454
485 483
493 492
336 335
442 439
99 97
55 53
423 422
49 48
416 414
228 227
314 313
471 470
27 26
206 205
8 5
461 460
439 438
266 265
1 0
424 422
419 418
294 292
165 162
304 303
115 113
380 378
7 5
430 427
310 308
244 243
93 91
392 390
348 346
45 43
222 221
451 450
97 95
203 200
17 16
153 151
196 195
332 330
489 488
376 374
282 281
174 173
23 21
159 156
445 444
105 103
495 493
499 498
408 406
234 233
83 81
65 63
262 260
111 108
429 428
212 211
61 59
391 390
397 396
352 350
190 189
407 404
322 320
413 412
272 271
121 119
164 163
360 358
496 493
250 249
290 288
142 141
278 276
127 124
407 406
467 466
338 336
73 71
180 179
388 385
202 201
51 49
316 314
441 440
473 472
320 318
29 27
359 358
3 1
372 369
158 157
33 31
378 375
457 456
240 239
375 374
132 131
268 266
404 401
218 217
110 109
389 387
381 380
328 326
435 434
355 354
432 429
170 169
306 304
425 424
198 196
47 44
387 386
148 147
327 326
463 461
365 364
469 467
126 125
344 342
107 104
447 445
208 207
57 55
100 99
236 234
85 82
116 115
186 185
410 407
78 77
214 212
63 60
343 342
403 402
295 294
9 7
145 142
302 299
138 137
274 272
349 348
166 164
14 13
256 254
252 250
264 262
204 202
46 45
94 93
226 224
75 72
176 175
25 23
68 67
318 315
393 392
497 495
154 153
333 332
182 180
31 28
311 310
113 110
371 370
291 290
459 457
106 105
409 408
361 360
134 132
270 267
323 322
84 83
220 218
263 262
437 435
62 61
377 376
317 316
383 381
144 143
36 35
172 170
21 18
122 121
301 300
150 148
269 268
279 278
339 338
232 230
81 78
4 3
74 73
210 208
102 100
238 235
247 246
52 51
475 473
231 230
405 403
470 469
30 29
162 160
345 344
357 355
112 111
248 246
118 116
427 425
433 431
90 89
486 485
192 190
329 328
465 463
438 437
200 198
49 46
307 306
443 441
42 41
178 176
70 68
206 203
259 258
20 19
156 154
199 198
335 333
454 453
341 339
285 284
313 312
130 128
237 236
80 79
363 361
297 296
108 106
374 373
498 497
58 57
160 158
86 84
205 204
325 323
215 214
351 349
401 399
10 9
146 144
282 279
38 36
482 481
449 446
275 274
124 122
167 166
303 301
406 405
253 252
98 96
492 491
48 47
184 182
227 226
76 74
64 62
369 367
26 25
422 421
128 126
54 52
190 187
451 448
40 38
183 182
319 317
72 70
460 459
265 264
114 112
478 476
6 4
142 139
243 242
379 377
135 134
271 269
173 172
490 488
221 220
331 329
66 64
202 199
309 307
16 15
152 150
195 194
44 42
180 177
445 442
281 280
96 94
22 20
390 389
151 150
476 475
104 102
287 285
466 465
233 232
82 80
435 432
450 449
211 210
347 345
103 102
434 433
488 487
342 341
189 188
34 32
440 439
163 162
299 297
418 417
428 427
249 248
141 140
277 275
480 479
119 118
255 253
8 6
396 395
201 200
484 482
417 414
358 357
494 492
444 443
179 178
403 400
71 70
207 205
343 340
32 30
157 156
185 184
2 0
310 309
486 483
381 378
88 86
131 130
267 265
176 173
370 369
217 216
472 471
109 108
245 243
326 325
412 411
448 447
87 86
223 221
456 455
402 401
169 168
305 303
175 173
197 195
430 428
147 146
283 281
39 38
98 95
424 423
497 496
125 124
386 385
106 103
165 163
452 450
99 98
235 233
354 353
364 363
263 260
77 76
143 141
349 346
416 415
55 54
144 141
409 406
36 33
332 331
137 136
273 271
122 119
294 293
301 298
380 379
115 114
7 6
66 63
446 444
93 92
468 466
24 22
67 66
203 201
278 277
153 152
45 44
181 179
392 391
348 347
384 383
23 22
159 157
360 359
291 288
105 104
241 239
111 109
133 131
426 424
83 82
219 217
262 261
34 31
247 244
61 60
322 321
42 39
408 407
312 311
388 386
35 34
458 456
376 375
300 299
121 120
496 494
13 12
149 147
3 2
352 351
338 337
127 125
259 256
73 72
454 451
290 289
101 99
366 364
316 315
51 50
474 472
230 229
289 286
215 212
29 28
404 402
495 494
297 294
167 164
306 305
139 137
275 272
89 88
47 45
268 267
117 115
253 250
470 467
320 319
246 245
48 45
328 327
227 224
410 408
41 40
177 175
26 23
356 354
485 484
19 18
442 440
198 197
334 332
296 295
284 283
496 495
463 462
344 343
372 370
453 452
258 257
107 105
243 240
447 446
57 56
432 430
236 235
85 83
479 478
469 468
288 287
214 213
63 61
460 457
9 8
145 143
491 490
431 430
173 170
274 273
123 121
166 165
302 300
485 482
252 251
340 338
211 208
226 225
75 73
318 316
25 24
204 203
193 190
189 186
427 426
481 480
256 255
182 181
31 29
475 474
400 398
480 477
264 263
113 111
421 420
459 458
428 425
396 393
242 241
378 376
134 133
270 268
449 447
220 219
461 459
399 398
201 198
437 436
389 388
194 193
330 328
346 344
383 382
280 279
368 366
172 171
21 19
415 414
487 485
405 404
224 223
150 149
286 284
314 312
494 493
232 231
81 79
217 214
260 258
109 106
188 187
210 209
59 57
102 101
238 236
87 84
326 323
449 448
367 366
456 453
411 410
369 368
162 161
39 36
433 432
114 113
248 247
483 481
140 139
129 126
471 469
417 416
192 191
118 117
200 199
336 334
465 464
294 291
49 47
443 442
395 394
77 74
357 356
178 177
27 25
70 69
206 204
7 4
348 345
156 155
423 421
335 334
363 362
495 492
373 372
325 324
130 129
266 264
115 112
401 400
216 215
304 302
108 107
244 242
351 350
384 381
341 340
160 159
86 85
222 220
463 460
168 167
17 15
153 150
397 395
489 487
407 405
146 145
282 280
38 37
174 172
310 307
124 123
477 475
303 302
105 102
385 384
408 405
98 97
234 232
83 80
158 156
184 183
429 427
76 75
65 62
271 270
391 389
353 352
128 127
54 53
190 188
347 346
451 449
376 373
